Month Import,state,county,US Region,Probability of Initial Transmission,Infections (Median),Infections (25th Percentile),Infections (75th Percentile),Proportion Infected (Median),Proportion Infected (25th Percentile),Proportion Infected (75th Percentile),Infected in Pregnancy (Median),Infected in Pregnancy (25th Percentile),Infected in Pregnancy (75th Percentile)
3,Kansas,Marion,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Marion,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Marion,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Marion,MW,0.16,4,1.75,10,0.0003305,0.0001446,0.0008262,0,0,0
7,Kansas,Marion,MW,0.39,6,2,8,0.0004957,0.0001652,0.0006609,0,0,0
8,Kansas,Marion,MW,0.41,3,1,5,0.0002479,8.26E-05,0.0004131,0,0,0
9,Kansas,Marion,MW,0.11,1,1,1.5,8.26E-05,8.26E-05,0.0001239,0,0,0
10,Kansas,Marion,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Marion,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Marion,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Marshall,MW,0.13,2,1,3,0.0002013,0.0001006,0.0003019,0,0,0
7,Kansas,Marshall,MW,0.31,2,1,3,0.0002013,0.0001006,0.0003019,0,0,0
8,Kansas,Marshall,MW,0.21,2,1,2,0.0002013,0.0001006,0.0002013,0,0,0
9,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
10,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Marshall,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,McPherson,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,McPherson,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,McPherson,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,McPherson,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,McPherson,MW,0.01,32,32,32,0.001106,0.001106,0.001106,0,0,0
6,Kansas,McPherson,MW,0.17,2,1,6,6.91E-05,3.46E-05,0.0002073,0,0,0
7,Kansas,McPherson,MW,0.5,4,1,12,0.0001382,3.46E-05,0.0004146,0,0,0
8,Kansas,McPherson,MW,0.36,4,2,6,0.0001382,6.91E-05,0.0002073,0,0,0
9,Kansas,McPherson,MW,0.12,1,1,2,3.46E-05,3.46E-05,6.91E-05,0,0,0
10,Kansas,McPherson,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,McPherson,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,McPherson,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Meade,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Meade,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Meade,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Meade,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Meade,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Meade,MW,0.12,1,1,2.75,0.0002309,0.0002309,0.000635,0,0,0
7,Kansas,Meade,MW,0.33,2,1,4,0.0004618,0.0002309,0.0009236,0,0,0
8,Kansas,Meade,MW,0.2,2.5,2,3,0.0005772,0.0004618,0.0006927,0,0,0
9,Kansas,Meade,MW,0.06,1,1,1,0.0002309,0.0002309,0.0002309,0,0,0
10,Kansas,Meade,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Meade,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Meade,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Miami,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Miami,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Miami,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Miami,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Miami,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Miami,MW,0.15,3,2,6.5,9.22E-05,6.14E-05,0.0001997,0,0,0
7,Kansas,Miami,MW,0.34,4,1,7,0.0001229,3.07E-05,0.000215,0,0,0
8,Kansas,Miami,MW,0.43,3,2,6,9.22E-05,6.14E-05,0.0001843,0,0,0
9,Kansas,Miami,MW,0.11,1,1,1.5,3.07E-05,3.07E-05,4.61E-05,0,0,0
10,Kansas,Miami,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Miami,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Miami,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Mitchell,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Mitchell,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Mitchell,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Mitchell,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Mitchell,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Mitchell,MW,0.09,2,1,3,0.0003183,0.0001592,0.0004775,0,0,0
7,Kansas,Mitchell,MW,0.28,2,1,3,0.0003183,0.0001592,0.0004775,0,0,0
8,Kansas,Mitchell,MW,0.25,2,1,2,0.0003183,0.0001592,0.0003183,0,0,0
9,Kansas,Mitchell,MW,0.04,1,1,1.25,0.0001592,0.0001592,0.0001989,0,0,0
10,Kansas,Mitchell,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Mitchell,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Mitchell,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Montgomery,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Montgomery,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Montgomery,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Montgomery,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Montgomery,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Montgomery,MW,0.24,2,1,7.25,6.00E-05,3.00E-05,0.0002176,0,0,0
7,Kansas,Montgomery,MW,0.43,7,2.5,13,0.0002101,7.50E-05,0.0003902,0,0,0
8,Kansas,Montgomery,MW,0.48,3,2,7,9.01E-05,6.00E-05,0.0002101,0,0,0
9,Kansas,Montgomery,MW,0.18,1,1,2,3.00E-05,3.00E-05,6.00E-05,0,0,0
10,Kansas,Montgomery,MW,0.01,1,1,1,3.00E-05,3.00E-05,3.00E-05,0,0,0
11,Kansas,Montgomery,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Montgomery,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Morris,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Morris,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Morris,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Morris,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Morris,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Morris,MW,0.13,2,1,3,0.0003542,0.0001771,0.0005313,0,0,0
7,Kansas,Morris,MW,0.3,2,1,3.75,0.0003542,0.0001771,0.0006642,0,0,0
8,Kansas,Morris,MW,0.24,1,1,2,0.0001771,0.0001771,0.0003542,0,0,0
9,Kansas,Morris,MW,0.03,1,1,1,0.0001771,0.0001771,0.0001771,0,0,0
10,Kansas,Morris,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Morris,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Morris,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Morton,MW,0.01,3,3,3,0.0009973,0.0009973,0.0009973,0,0,0
7,Kansas,Morton,MW,0.1,1.5,1,2.75,0.0004987,0.0003324,0.0009142,0,0,0
8,Kansas,Morton,MW,0.12,2,1,3,0.0006649,0.0003324,0.0009973,0,0,0
9,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
10,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Morton,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Nemaha,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Nemaha,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Nemaha,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Nemaha,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Nemaha,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Nemaha,MW,0.13,2,1,3,0.0001955,9.78E-05,0.0002933,0,0,0
7,Kansas,Nemaha,MW,0.34,2.5,2,5.75,0.0002444,0.0001955,0.0005622,0,0,0
8,Kansas,Nemaha,MW,0.32,1,1,2,9.78E-05,9.78E-05,0.0001955,0,0,0
9,Kansas,Nemaha,MW,0.05,1,1,2,9.78E-05,9.78E-05,0.0001955,0,0,0
10,Kansas,Nemaha,MW,0.01,1,1,1,9.78E-05,9.78E-05,9.78E-05,0,0,0
11,Kansas,Nemaha,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Nemaha,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Neosho,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Neosho,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Neosho,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Neosho,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Neosho,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Neosho,MW,0.24,3.5,1,14.25,0.0002141,6.12E-05,0.0008717,0,0,0
7,Kansas,Neosho,MW,0.5,6,2,13,0.000367,0.0001223,0.0007953,0,0,0
8,Kansas,Neosho,MW,0.53,2,1,5,0.0001223,6.12E-05,0.0003059,0,0,0
9,Kansas,Neosho,MW,0.16,1,1,2,6.12E-05,6.12E-05,0.0001223,0,0,0
10,Kansas,Neosho,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Neosho,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Neosho,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Ness,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Ness,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Ness,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Ness,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Ness,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Ness,MW,0.11,2,1,3,0.0006653,0.0003327,0.000998,0,0,0
7,Kansas,Ness,MW,0.34,2,1,3,0.0006653,0.0003327,0.000998,0,0,0
8,Kansas,Ness,MW,0.13,2,1,4,0.0006653,0.0003327,0.001331,0,0,0
9,Kansas,Ness,MW,0.03,2,1.5,2,0.0006653,0.000499,0.0006653,0,0,0
10,Kansas,Ness,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Ness,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Ness,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Norton,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Norton,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Norton,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Norton,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Norton,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Norton,MW,0.1,1,1,3.5,0.0001801,0.0001801,0.0006305,0,0,0
7,Kansas,Norton,MW,0.27,2,1,3.5,0.0003603,0.0001801,0.0006305,0,0,0
8,Kansas,Norton,MW,0.24,1,1,2,0.0001801,0.0001801,0.0003603,0,0,0
9,Kansas,Norton,MW,0.03,1,1,1,0.0001801,0.0001801,0.0001801,0,0,0
10,Kansas,Norton,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Norton,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Norton,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Osage,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Osage,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Osage,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Osage,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Osage,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Osage,MW,0.22,2,1,4,0.0001262,6.31E-05,0.0002524,0,0,0
7,Kansas,Osage,MW,0.36,4,2,8,0.0002524,0.0001262,0.0005048,0,0,0
8,Kansas,Osage,MW,0.32,2,1,3,0.0001262,6.31E-05,0.0001893,0,0,0
9,Kansas,Osage,MW,0.08,1,1,1.25,6.31E-05,6.31E-05,7.89E-05,0,0,0
10,Kansas,Osage,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Osage,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Osage,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Osborne,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Osborne,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Osborne,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Osborne,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Osborne,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Osborne,MW,0.07,1,1,1.5,0.0002714,0.0002714,0.0004072,0,0,0
7,Kansas,Osborne,MW,0.25,1,1,3,0.0002714,0.0002714,0.0008143,0,0,0
8,Kansas,Osborne,MW,0.25,2,1,3,0.0005429,0.0002714,0.0008143,0,0,0
9,Kansas,Osborne,MW,0.04,1.5,1,2,0.0004072,0.0002714,0.0005429,0,0,0
10,Kansas,Osborne,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Osborne,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Osborne,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Ottawa,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Ottawa,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Ottawa,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Ottawa,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Ottawa,MW,0.02,1,1,1,0.0001673,0.0001673,0.0001673,0,0,0
6,Kansas,Ottawa,MW,0.18,1.5,1,5.25,0.000251,0.0001673,0.0008785,0,0,0
7,Kansas,Ottawa,MW,0.42,4,2,7.75,0.0006693,0.0003347,0.001297,0,0,0
8,Kansas,Ottawa,MW,0.44,2,1,4,0.0003347,0.0001673,0.0006693,0,0,0
9,Kansas,Ottawa,MW,0.16,1,1,2,0.0001673,0.0001673,0.0003347,0,0,0
10,Kansas,Ottawa,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Ottawa,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Ottawa,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Pawnee,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Pawnee,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Pawnee,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Pawnee,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Pawnee,MW,0.01,28,28,28,0.004094,0.004094,0.004094,0,0,0
6,Kansas,Pawnee,MW,0.19,2,1,5,0.0002924,0.0001462,0.0007311,0,0,0
7,Kansas,Pawnee,MW,0.45,4,2,8,0.0005849,0.0002924,0.00117,0,0,0
8,Kansas,Pawnee,MW,0.46,2.5,1,4,0.0003656,0.0001462,0.0005849,0,0,0
9,Kansas,Pawnee,MW,0.07,1,1,2,0.0001462,0.0001462,0.0002924,0,0,0
10,Kansas,Pawnee,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Pawnee,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Pawnee,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Phillips,MW,0.08,2,1,3.25,0.0003684,0.0001842,0.0005986,0,0,0
7,Kansas,Phillips,MW,0.21,2,1,3,0.0003684,0.0001842,0.0005526,0,0,0
8,Kansas,Phillips,MW,0.28,1,1,3,0.0001842,0.0001842,0.0005526,0,0,0
9,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
10,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Phillips,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Pottawatomie,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Pottawatomie,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Pottawatomie,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Pottawatomie,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Pottawatomie,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Pottawatomie,MW,0.08,1,1,2,4.29E-05,4.29E-05,8.58E-05,0,0,0
7,Kansas,Pottawatomie,MW,0.29,2,1,3,8.58E-05,4.29E-05,0.0001288,0,0,0
8,Kansas,Pottawatomie,MW,0.27,1,1,2,4.29E-05,4.29E-05,8.58E-05,0,0,0
9,Kansas,Pottawatomie,MW,0.05,1,1,1,4.29E-05,4.29E-05,4.29E-05,0,0,0
10,Kansas,Pottawatomie,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Pottawatomie,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Pottawatomie,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Pratt,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Pratt,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Pratt,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Pratt,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Pratt,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Pratt,MW,0.17,3,1,13,0.0003095,0.0001032,0.001341,0,0,0
7,Kansas,Pratt,MW,0.45,7,3,15,0.0007222,0.0003095,0.001548,0,0,0
8,Kansas,Pratt,MW,0.5,3,1,4.75,0.0003095,0.0001032,0.0004901,0,0,0
9,Kansas,Pratt,MW,0.18,1,1,2,0.0001032,0.0001032,0.0002064,0,0,0
10,Kansas,Pratt,MW,0.01,1,1,1,0.0001032,0.0001032,0.0001032,0,0,0
11,Kansas,Pratt,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Pratt,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Rawlins,MW,0.02,1.5,1.25,1.75,0.0005983,0.0004986,0.000698,0,0,0
7,Kansas,Rawlins,MW,0.36,2,1,3,0.0007978,0.0003989,0.001197,0,0,0
8,Kansas,Rawlins,MW,0.25,1,1,2,0.0003989,0.0003989,0.0007978,0,0,0
9,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
10,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Rawlins,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Reno,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Reno,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Reno,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Reno,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Reno,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Reno,MW,0.24,2,1,5.5,3.14E-05,1.57E-05,8.63E-05,0,0,0
7,Kansas,Reno,MW,0.51,7,3,21,0.0001099,4.71E-05,0.0003296,0,0,0
8,Kansas,Reno,MW,0.44,4,2,6.25,6.28E-05,3.14E-05,9.81E-05,0,0,0
9,Kansas,Reno,MW,0.12,1,1,2,1.57E-05,1.57E-05,3.14E-05,0,0,0
10,Kansas,Reno,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Reno,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Reno,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Republic,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Republic,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Republic,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Republic,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Republic,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Republic,MW,0.11,3,2,4,0.0006348,0.0004232,0.0008464,0,0,0
7,Kansas,Republic,MW,0.47,3,2,5,0.0006348,0.0004232,0.001058,0,0,0
8,Kansas,Republic,MW,0.3,1,1,3,0.0002116,0.0002116,0.0006348,0,0,0
9,Kansas,Republic,MW,0.01,1,1,1,0.0002116,0.0002116,0.0002116,0,0,0
10,Kansas,Republic,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Republic,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Republic,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Rice,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Rice,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Rice,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Rice,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Rice,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Rice,MW,0.19,1,1,4,0.0001002,0.0001002,0.0004009,0,0,0
7,Kansas,Rice,MW,0.5,4,2,8,0.0004009,0.0002004,0.0008018,0,0,0
8,Kansas,Rice,MW,0.39,2,2,4.5,0.0002004,0.0002004,0.000451,0,0,0
9,Kansas,Rice,MW,0.05,1,1,2,0.0001002,0.0001002,0.0002004,0,0,0
10,Kansas,Rice,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Rice,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Rice,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Riley,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Riley,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Riley,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Riley,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Riley,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Riley,MW,0.05,1,1,2,1.33E-05,1.33E-05,2.66E-05,0,0,0
7,Kansas,Riley,MW,0.29,2,2,4,2.66E-05,2.66E-05,5.32E-05,0,0,0
8,Kansas,Riley,MW,0.24,1.5,1,3.25,1.99E-05,1.33E-05,4.32E-05,0,0,0
9,Kansas,Riley,MW,0.04,1,1,1,1.33E-05,1.33E-05,1.33E-05,0,0,0
10,Kansas,Riley,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Riley,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Riley,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Rooks,MW,0.05,7,3,10,0.001353,0.0005797,0.001932,0,0,0
7,Kansas,Rooks,MW,0.31,2,1,3,0.0003865,0.0001932,0.0005797,0,0,0
8,Kansas,Rooks,MW,0.33,2,1,3,0.0003865,0.0001932,0.0005797,0,0,0
9,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
10,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Rooks,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Rush,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Rush,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Rush,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Rush,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Rush,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Rush,MW,0.11,2,1,3,0.0006388,0.0003194,0.0009582,0,0,0
7,Kansas,Rush,MW,0.18,1,1,2,0.0003194,0.0003194,0.0006388,0,0,0
8,Kansas,Rush,MW,0.17,1,1,2,0.0003194,0.0003194,0.0006388,0,0,0
9,Kansas,Rush,MW,0.05,2,2,2,0.0006388,0.0006388,0.0006388,0,0,0
10,Kansas,Rush,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Rush,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Rush,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Russell,MW,0.06,2.5,1.25,3,0.0003551,0.0001776,0.0004261,0,0,0
7,Kansas,Russell,MW,0.36,2,1.75,3.25,0.0002841,0.0002486,0.0004616,0,0,0
8,Kansas,Russell,MW,0.23,2,1,3,0.0002841,0.000142,0.0004261,0,0,0
9,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
10,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Russell,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Saline,MW,0,0,0,0,0,0,0,0,0,0
2,Kansas,Saline,MW,0,0,0,0,0,0,0,0,0,0
3,Kansas,Saline,MW,0,0,0,0,0,0,0,0,0,0
4,Kansas,Saline,MW,0,0,0,0,0,0,0,0,0,0
5,Kansas,Saline,MW,0,0,0,0,0,0,0,0,0,0
6,Kansas,Saline,MW,0.22,2,1,6.25,3.59E-05,1.80E-05,0.0001122,0,0,0
7,Kansas,Saline,MW,0.57,4,2,11,7.18E-05,3.59E-05,0.0001975,0,0,0
8,Kansas,Saline,MW,0.43,3,1,5,5.39E-05,1.80E-05,8.98E-05,0,0,0
9,Kansas,Saline,MW,0.16,1,1,1.25,1.80E-05,1.80E-05,2.24E-05,0,0,0
10,Kansas,Saline,MW,0,0,0,0,0,0,0,0,0,0
11,Kansas,Saline,MW,0,0,0,0,0,0,0,0,0,0
12,Kansas,Saline,MW,0,0,0,0,0,0,0,0,0,0
1,Kansas,Scott,MW,0,0,0,0,0,0,0,0,0,0
